Date,MaxT,MinT,Humidity,Wind,Rain,Unnamed:0
5/3/2014,39.8,26.7,32,15.9,0,0
5/4/2014,40.3,27.2,30,16.4,0,0
5/5/2014,40.9,27.6,28,17,0,0
5/6/2014,41.4,28.1,26,17.5,0,0
5/7/2014,41.8,28.5,25,18.1,0,0
5/8/2014,42.3,28.9,24,18.6,0,0
5/9/2014,42.6,29.2,23,19.2,0,0
5/10/2014,42.9,29.5,22,19.7,0,0
5/11/2014,43.1,29.7,21,20.3,0,0
5/12/2014,43.2,29.8,20,20.8,0,0
5/13/2014,43.3,29.9,20,21.4,0,0
5/14/2014,43.4,30,19,21.9,0,0
5/15/2014,43.5,30.1,19,22.5,0,0
5/16/2014,43.5,30.1,20,23,0,0
5/17/2014,43.4,30,22,23.6,0,0
5/18/2014,43.2,29.8,24,24.1,0,0
5/19/2014,42.9,29.5,26,24.7,0,0
5/20/2014,42.5,29.1,29,25.2,0.3,0
5/21/2014,42.1,28.7,32,25.8,11.2,0
5/22/2014,41.6,28.2,35,26.3,22.5,0
5/23/2014,41,27.6,39,26.9,25.8,0
5/24/2014,40.3,27,43,27.4,28.7,0
5/25/2014,39.5,26.3,47,28,32.5,0
5/26/2014,38.7,25.5,51,28.5,15.4,0
5/27/2014,37.8,24.7,55,29.1,20.2,0
5/28/2014,37,23.9,58,29.6,26.5,0
5/29/2014,36.3,23.2,62,30.2,23.1,0
5/30/2014,35.6,22.5,65,30.7,11.4,0
5/31/2014,36.2,23.1,62,31.3,7.6,0
6/1/2014,36.9,23.8,59,31.8,0,0
6/2/2014,37.7,24.6,56,32.4,0,0
6/3/2014,38.5,25.3,53,32.9,0,0
6/4/2014,39.2,26,50,33.5,0,0
6/5/2014,39.8,26.6,48,34,0,0
6/6/2014,40.3,27.1,45,34.6,0,0
6/7/2014,40.8,27.6,43,35.1,0,0
6/8/2014,41.2,28,41,35.7,0,0
6/9/2014,41.5,28.3,40,36.2,0,0
6/10/2014,41.7,28.5,38,36.8,0,0
6/11/2014,41.9,28.7,37,37.3,0,0
6/12/2014,42,28.8,36,37.9,0,0
6/13/2014,41.8,28.6,38,38.4,11.2,0
6/14/2014,41.3,28.1,41,39,14.5,0
6/15/2014,40.6,27.4,45,39.5,32.3,0
6/16/2014,39.5,26.3,50,40.1,38.6,0
6/17/2014,38.1,24.9,56,40.6,45.2,0
6/18/2014,36.4,23.2,63,41.2,52.8,0
6/19/2014,34.8,21.6,70,41.7,66.3,0
6/20/2014,35.5,22.3,68,42.3,48.9,0
6/21/2014,36.3,23.1,65,42.8,34.5,0
6/22/2014,37,23.8,62,43.4,25.7,0
6/23/2014,37.6,24.4,59,43.9,19.2,0
6/24/2014,38.2,25,56,44.5,23.8,0
6/25/2014,38.7,25.5,53,45,20.5,0
6/26/2014,39.1,25.9,50,45.6,0,0
6/27/2014,39.4,26.2,48,46.1,22.6,0
6/28/2014,38.2,25,55,46.7,55.8,0
6/29/2014,36.7,23.5,63,47.2,78.3,0
6/30/2014,35.1,21.9,72,47.8,92.7,0
7/1/2014,33.8,26.3,78,38.5,95.6,0
7/2/2014,32.5,25.8,82,35.2,73.4,0
7/3/2014,31.9,25.5,85,32.8,58.2,0
7/4/2014,33.2,26,83,30.5,52.7,0
7/5/2014,34.1,26.5,80,28.9,39.4,0
7/6/2014,35,27,77,27.4,35.3,0
7/7/2014,35.7,27.3,74,26.2,28.6,0
7/8/2014,36.3,27.6,71,25.7,23.2,0
7/9/2014,36.8,27.9,68,24.9,9.8,0
7/10/2014,37.2,28.1,66,24.3,0,0
7/11/2014,36.5,27.8,70,25.6,42.7,0
7/12/2014,35.2,27.3,75,27.2,48.5,0
7/13/2014,33.9,26.7,80,28.9,75.3,0
7/14/2014,32.7,26.2,84,30.5,83.2,0
7/15/2014,31.8,25.8,87,31.8,94.8,0
7/16/2014,32.5,26.1,85,30.2,76.4,0
7/17/2014,33.3,26.5,82,28.7,62.9,0
7/18/2014,34,26.8,79,27.3,51.5,0
7/19/2014,34.6,27.1,76,26.1,28.2,0
7/20/2014,35.1,27.4,73,25.4,24.8,0
7/21/2014,35.5,27.6,70,24.8,0.5,0
7/22/2014,35.9,27.8,68,24.2,0,0
7/23/2014,35.2,27.5,71,25.7,24.3,0
7/24/2014,34.1,27,76,27.4,22.7,0
7/25/2014,32.9,26.5,81,29.2,68.9,0
7/26/2014,31.8,26,85,30.8,87.5,0
7/27/2014,32.3,26.2,83,29.5,75.2,0
7/28/2014,33,26.5,80,28.3,53.8,0
7/29/2014,33.7,26.9,77,27,45.4,0
7/30/2014,34.4,27.2,74,26.1,20.6,0
7/31/2014,34.9,27.5,72,25.3,10.3,0
8/1/2014,35.3,27.7,70,24.8,0,0
8/2/2014,35.6,27.9,68,24.5,0,0
8/3/2014,35.8,28,67,24.3,0,0
8/4/2014,35.1,27.7,70,25.9,18.6,0
8/5/2014,34.2,27.3,74,27.5,25.3,0
8/6/2014,33.2,26.8,79,29.1,48.7,0
8/7/2014,32.4,26.4,83,30.6,72.5,0
8/8/2014,31.8,26.1,86,31.8,93.2,0
8/9/2014,32.5,26.5,84,30.4,78.6,0
8/10/2014,33.3,26.9,81,29,59.4,0
8/11/2014,34,27.2,78,27.7,47.2,0
8/12/2014,34.6,27.5,75,26.5,38.5,0
8/13/2014,35.1,27.8,72,25.8,25.3,0
8/14/2014,35.5,28,69,25.2,20.4,0
8/15/2014,35.8,28.2,67,24.7,0,0
8/16/2014,36,28.3,66,24.3,0,0
8/17/2014,35.4,28,69,25.8,22.5,0
8/18/2014,34.5,27.6,73,27.4,45.8,0
8/19/2014,33.5,27.1,78,29,72.4,0
8/20/2014,32.6,26.6,82,30.5,85.7,0
8/21/2014,33.2,26.9,80,29.2,77.3,0
8/22/2014,33.9,27.2,77,28,55.9,0
8/23/2014,34.5,27.5,74,26.9,38.2,0
8/24/2014,35,27.8,71,26,23.6,0
8/25/2014,35.4,28,69,25.3,3.5,0
8/26/2014,35.7,28.2,67,24.8,0,0
8/27/2014,34.9,27.9,70,26.2,27.8,0
8/28/2014,33.8,27.3,75,27.9,42.3,0
8/29/2014,32.8,26.8,80,29.5,68.7,0
8/30/2014,32,26.3,84,31,89.4,0
8/31/2014,32.7,26.7,82,29.8,75.2,0
9/1/2014,33.5,26.9,79,28.5,74.3,0
9/2/2014,34.2,27.3,76,27.1,65.6,0
9/3/2014,34.8,27.6,73,25.8,41.4,0
9/4/2014,35.3,27.9,70,24.5,35.2,0
9/5/2014,35.7,28.1,67,23.8,42.7,0
9/6/2014,36,28.3,65,23.2,0.8,0
9/7/2014,36.3,28.5,63,22.7,0,0
9/8/2014,35.8,28.2,66,24.3,23.6,0
9/9/2014,34.9,27.7,70,26.2,45.8,0
9/10/2014,33.8,27.1,75,28.1,68.7,0
9/11/2014,32.9,26.5,80,29.8,86.3,0
9/12/2014,32.3,26.1,83,31.2,94.5,0
9/13/2014,33,26.6,80,29.7,82.8,0
9/14/2014,33.8,27.1,77,28.2,64.2,0
9/15/2014,34.5,27.5,73,26.8,42.5,0
9/16/2014,35.1,27.9,70,25.5,36.9,0
9/17/2014,35.5,28.2,67,24.3,15.4,0
9/18/2014,35.9,28.4,64,23.6,0,0
9/19/2014,36.2,28.6,62,23,0,0
9/20/2014,35.5,28.1,65,24.5,8.3,0
9/21/2014,34.6,27.5,69,26.2,37.5,0
9/22/2014,33.7,26.9,73,27.9,58.9,0
9/23/2014,32.9,26.3,77,29.5,75.4,0
9/24/2014,32.2,25.8,81,31,92.7,0
9/25/2014,32.8,26.3,78,29.8,83.8,0
9/26/2014,33.5,26.8,75,28.5,62.9,0
9/27/2014,34.2,27.3,72,27.2,35.6,0
9/28/2014,34.8,27.7,69,26,22.3,0
9/29/2014,35.3,28,66,24.9,32.5,0
9/30/2014,35.7,28.3,63,24,0,0
10/1/2014,35.9,28.4,61,23.3,0,0
10/2/2014,36.1,28.5,59,22.6,0,0
10/3/2014,36.3,28.6,57,22,0,0
10/4/2014,36.4,28.7,56,21.5,0,0
10/5/2014,36.2,28.5,58,22.3,0,0
10/6/2014,35.7,28.1,61,23.6,5.8,0
10/7/2014,34.9,27.5,65,25.2,18.4,0
10/8/2014,33.8,26.8,70,26.9,35.7,0
10/9/2014,32.9,26.1,74,28.5,52.3,0
10/10/2014,32.2,25.5,78,29.8,68.9,0
10/11/2014,32.8,26,75,28.4,46.5,0
10/12/2014,33.5,26.6,71,27,28.3,0
10/13/2014,34.2,27.2,67,25.7,14.6,0
10/14/2014,34.8,27.6,63,24.5,5.2,0
10/15/2014,35.3,28,60,23.4,0,0
10/16/2014,35.7,28.3,57,22.6,0,0
10/17/2014,35.9,28.4,55,21.9,0,0
10/18/2014,36,28.5,54,21.3,0,0
10/19/2014,35.6,28.1,56,22.5,3.7,0
10/20/2014,34.8,27.5,59,24,12.8,0
10/21/2014,33.9,26.8,63,25.6,25.3,0
10/22/2014,33.1,26.2,67,27.1,38.9,0
10/23/2014,32.4,25.7,71,28.5,50.6,0
10/24/2014,33,26.2,68,27.3,32.4,0
10/25/2014,33.7,26.8,64,26,18.7,0
10/26/2014,34.3,27.3,60,24.8,7.5,0
10/27/2014,34.8,27.7,57,23.7,1.2,0
10/28/2014,35.2,28,54,22.8,0,0
10/29/2014,35.5,28.2,52,22,0,0
10/30/2014,35.7,28.3,50,21.4,0,0
10/31/2014,35.8,28.4,49,20.9,0,0
11/1/2014,29.8,17.2,65,8.3,0,0
11/2/2014,29.5,16.9,62,7.5,0,0
11/3/2014,29.3,16.5,60,6.8,0,0
11/4/2014,29,16.2,59,7.2,0,0
11/5/2014,28.7,15.9,58,8.5,0,0
11/6/2014,28.5,15.6,57,7.9,0,0
11/7/2014,28.2,15.3,58,7.4,0,0
11/8/2014,27.9,15,59,8.1,0,0
11/9/2014,27.6,14.7,60,9.3,0,0
11/10/2014,27.3,14.4,61,8.7,0,0
11/11/2014,27,14.1,63,7.5,0,0
11/12/2014,26.8,13.8,65,6.9,0,0
11/13/2014,26.5,13.5,64,7.8,0,0
11/14/2014,26.2,13.2,62,8.4,0,0
11/15/2014,25.9,12.9,61,7.6,0,0
11/16/2014,25.6,12.6,60,6.8,0,0
11/17/2014,25.3,12.3,59,7.2,0,0
11/18/2014,25,12,58,8.5,0,0
11/19/2014,24.7,11.7,57,7.3,0,0
11/20/2014,24.4,11.4,56,6.9,0,0
11/21/2014,24.1,11.1,55,7.8,0,0
11/22/2014,23.8,10.8,54,8.2,0,0
11/23/2014,23.5,10.5,53,7.4,0,0
11/24/2014,23.2,10.2,54,6.8,0,0
11/25/2014,22.9,9.9,55,7.5,0,0
11/26/2014,22.6,9.6,56,8.1,0,0
11/27/2014,22.3,9.3,57,7.6,0,0
11/28/2014,22,9,58,6.9,0,0
11/29/2014,21.7,8.7,59,7.3,0,0
11/30/2014,21.4,8.4,60,8,0,0
12/1/2014,21.1,8.1,61,7.2,0,0
12/2/2014,20.8,7.8,62,6.7,0,0
12/3/2014,20.5,7.5,63,7.5,0,0
12/4/2014,20.2,7.2,64,8.3,0,0
12/5/2014,19.9,6.9,65,7.8,0,0
12/6/2014,19.6,6.6,66,7.1,0,0
12/7/2014,19.3,6.3,67,6.5,0,0
12/8/2014,19,6,68,7.2,0,0
12/9/2014,18.7,5.7,69,7.9,0,0
12/10/2014,18.4,5.4,70,7.4,0,0
12/11/2014,18.1,5.1,71,6.8,0,0
12/12/2014,17.8,4.8,72,7.5,0,0
12/13/2014,17.5,4.5,73,8.2,0,0
12/14/2014,17.2,4.2,74,7.6,0,0
12/15/2014,16.9,3.9,75,6.9,0,0
12/16/2014,16.6,3.6,76,7.3,0,0
12/17/2014,16.3,3.3,77,7.8,0,0
12/18/2014,16,3,78,7.2,0,0
12/19/2014,15.8,2.9,79,6.7,0,0
12/20/2014,15.6,2.8,80,7.4,0,0
12/21/2014,15.4,2.7,81,8.1,0,0
12/22/2014,15.2,2.6,82,7.5,0,0
12/23/2014,15,2.5,83,6.9,0,0
12/24/2014,14.8,2.4,84,7.6,0,0
12/25/2014,14.6,2.3,85,8.3,0,0
12/26/2014,14.4,2.2,86,7.7,0,0
12/27/2014,14.2,2.1,87,7.1,0,0
12/28/2014,14,2,88,7.8,0,0
12/29/2014,13.8,1.9,89,8.4,0,0
12/30/2014,13.6,1.8,90,7.9,0,0
12/31/2014,13.4,1.7,91,7.3,0,0
1/1/2015,13.2,1.6,92,7,0,0
1/2/2015,13.5,1.8,90,6.8,0,0
1/3/2015,13.7,2,89,7.2,0,0
1/4/2015,13.9,2.1,88,6.5,0,0
1/5/2015,14.2,2.3,87,7.4,0,0
1/6/2015,14.5,2.5,86,8.1,0,0
1/7/2015,14.8,2.7,85,7.8,0,0
1/8/2015,15,2.9,84,7.3,0,0
1/9/2015,15.3,3.1,83,6.9,0,0
1/10/2015,15.5,3.3,82,7.5,0,0
1/11/2015,15.8,3.5,81,8.2,0,0
1/12/2015,16,3.7,80,7.6,0,0
1/13/2015,16.3,3.9,79,7.1,0,0
1/14/2015,16.5,4.1,78,6.8,0,0
1/15/2015,16.8,4.3,77,7.4,0.5,0
1/16/2015,16.2,4,82,8.3,1.8,0
1/17/2015,15.8,3.8,84,7.9,3.2,0
1/18/2015,16.5,4.2,80,7.3,0.8,0
1/19/2015,17,4.4,78,6.7,0,0
1/20/2015,17.3,4.6,76,7.5,0,0
1/21/2015,17.6,4.8,75,8.2,0,0
1/22/2015,17.9,5,74,7.8,0,0
1/23/2015,18.2,5.2,73,7.2,0,0
1/24/2015,18.5,5.4,72,6.9,0,0
1/25/2015,18.8,5.6,71,7.5,0,0
1/26/2015,19.1,5.8,70,8.1,0,0
1/27/2015,19.4,6,69,7.7,0,0
1/28/2015,19.7,6.2,68,7.2,0,0
1/29/2015,20,6.4,67,6.8,0,0
1/30/2015,20.3,6.6,66,7.4,0,0
1/31/2015,20.6,6.8,65,8,0,0
2/1/2015,20.9,7,64,7.6,0,0
2/2/2015,21.2,7.2,63,7.1,0,0
2/3/2015,21.5,7.4,62,6.7,0,0
2/4/2015,21.8,7.6,61,7.3,0,0
2/5/2015,22.1,7.8,60,7.9,0,0
2/6/2015,22.4,8,59,7.5,0,0
2/7/2015,22.7,8.2,58,7,0,0
2/8/2015,23,8.4,57,6.8,0,0
2/9/2015,23.3,8.6,56,7.4,0,0
2/10/2015,23.6,8.8,55,8,0,0
2/11/2015,23.9,9,54,7.6,0.3,0
2/12/2015,24.2,9.2,53,7.1,0.8,0
2/13/2015,24.5,9.4,52,6.5,1.5,0
2/14/2015,24.8,9.6,51,7.2,2.3,0
2/15/2015,25.1,9.8,50,7.8,0.6,0
2/16/2015,25.4,10,51,7.4,0,0
2/17/2015,25.7,10.2,52,6.9,0,0
2/18/2015,26,10.4,53,7.5,0,0
2/19/2015,26.3,10.6,54,8.1,0,0
2/20/2015,26.6,10.8,55,7.7,0,0
2/21/2015,26.9,11,56,7.2,0,0
2/22/2015,27.2,11.2,57,6.8,0,0
2/23/2015,27.5,11.4,58,7.4,0,0
2/24/2015,27.8,11.6,59,8,0,0
2/25/2015,28.1,11.8,60,7.6,0,0
2/26/2015,28.4,12,61,7.1,0,0
2/27/2015,28.7,12.2,62,6.7,0,0
2/28/2015,29,12.4,63,7.3,0,0
3/1/2015,29.3,13,62,7.8,0,0
3/2/2015,29.6,13.5,61,8.2,0,0
3/3/2015,29.9,14,60,8.5,0,0
3/4/2015,30.2,14.5,59,7.9,0,0
3/5/2015,30.5,15,58,7.4,0,0
3/6/2015,30.8,15.5,57,8.1,0,0
3/7/2015,31.1,16,56,8.7,0,0
3/8/2015,31.4,16.5,55,9.2,0,0
3/9/2015,31.7,17,54,8.6,0,0
3/10/2015,32,17.5,53,8,0,0
3/11/2015,32.3,18,52,8.5,0,0
3/12/2015,32.6,18.5,51,9.1,0,0
3/13/2015,32.9,19,50,9.6,0,0
3/14/2015,33.2,19.5,51,9,0,0
3/15/2015,33.5,20,52,8.4,2.3,0
3/16/2015,33.8,20.5,53,8.9,5.6,0
3/17/2015,34.1,21,54,9.5,3.2,0
3/18/2015,33.4,20.2,61,10.2,0.8,0
3/19/2015,32.9,19.8,64,9.7,0,0
3/20/2015,33.7,20.4,58,9.1,0,0
3/21/2015,34.3,20.8,54,8.7,0,0
3/22/2015,34.6,21.1,52,9.2,0,0
3/23/2015,34.9,21.4,51,9.8,0,0
3/24/2015,35.2,21.7,50,10.3,0,0
3/25/2015,35.5,22,49,9.8,0,0
3/26/2015,35.8,22.3,48,9.2,0,0
3/27/2015,36.1,22.6,47,9.7,0,0
3/28/2015,36.4,22.9,46,10.1,0,0
3/29/2015,36.7,23.2,45,10.6,0,0
3/30/2015,37,23.5,44,10,0,0
3/31/2015,37.3,23.8,43,9.4,0,0
4/1/2015,37.6,24.1,42,9.9,0,0
4/2/2015,37.9,24.4,41,10.5,3.5,0
4/3/2015,38.2,24.7,40,11,8.7,0
4/4/2015,38.5,25,41,10.4,5.2,0
4/5/2015,38.8,25.3,42,9.8,1.3,0
4/6/2015,39.1,25.6,43,10.3,0,0
4/7/2015,39.4,25.9,44,10.9,0,0
4/8/2015,39.7,26.2,45,11.4,0,0
4/9/2015,39.5,25.8,48,12,0,0
4/10/2015,38.3,24.9,56,13.5,0,0
4/11/2015,37.8,24.5,53,12.8,0,0
4/12/2015,38.6,25.3,48,11.9,0,0
4/13/2015,39.2,25.7,46,11.2,0,0
4/14/2015,39.5,26,45,11.8,4.8,0
4/15/2015,39.8,26.3,44,12.4,12.3,0
4/16/2015,40.1,26.6,43,12.9,7.5,0
4/17/2015,40.4,26.9,42,13.5,2.1,0
4/18/2015,40.7,27.2,41,14,0,0
4/19/2015,40.6,27,44,14.6,0,0
4/20/2015,39.8,26.4,49,13.9,0,0
4/21/2015,40.3,26.7,45,13.2,0,0
4/22/2015,40.8,27.3,43,13.7,0,0
4/23/2015,41,27.5,42,14.3,0,0
4/24/2015,41.2,27.7,41,14.8,0,0
4/25/2015,41.4,27.9,40,14.2,0,0
4/26/2015,41.6,28.1,39,13.6,0,0
4/27/2015,41.8,28.3,38,14.1,0,0
4/28/2015,42,28.5,37,14.7,0,0
4/29/2015,42.2,28.7,36,15.2,0,0
4/30/2015,42.4,28.9,38,15.8,0,0
5/1/2015,42.5,29,39,15.4,0,0
5/2/2015,42.6,29.1,40,15.9,0,0
5/3/2015,42.7,29.2,41,16.3,0,0
5/4/2015,42.8,29.3,42,15.8,0,0
5/5/2015,42.9,29.4,43,15.2,0,0
5/6/2015,43,29.5,44,15.7,0,0
5/7/2015,42.8,29.3,46,16.2,0,0
5/8/2015,41.5,28.7,53,17.5,2.3,0
5/9/2015,42.1,29,48,16.8,5.8,0
5/10/2015,42.7,29.3,45,16.2,12.4,0
5/11/2015,42.9,29.4,44,16.7,8.6,0
5/12/2015,43.1,29.5,43,17.3,4.2,0
5/13/2015,43.2,29.6,42,17.8,1.5,0
5/14/2015,43.3,29.7,41,17.2,0,0
5/15/2015,43.4,29.8,40,16.8,0,0
5/16/2015,43.5,29.9,41,17.3,0,0
5/17/2015,43.6,30,42,17.9,0,0
5/18/2015,43.7,30.1,43,18.4,0,0
5/19/2015,42.4,29.5,50,19.2,0,0
5/20/2015,41.8,29.2,54,18.6,0,0
5/21/2015,42.5,29.6,49,17.9,0,0
5/22/2015,43,29.8,46,18.5,1.2,0
5/23/2015,43.2,29.9,45,19,3.5,0
5/24/2015,43.4,30,44,18.4,6.8,0
5/25/2015,43.6,30.1,43,17.9,15.2,0
5/26/2015,43.8,30.2,44,18.4,24.6,0
5/27/2015,43.3,29.9,47,19,32.8,0
5/28/2015,42,29.3,55,20.5,45.3,0
5/29/2015,41.5,29,58,19.8,38.7,0
5/30/2015,42.2,29.4,53,19.1,29.4,0
5/31/2015,42.8,29.7,49,18.6,18.6,0
6/1/2015,42.9,29.8,50,19.2,11.2,0
6/2/2015,41.7,29.2,56,20.7,6.4,0
6/3/2015,40.9,28.8,60,21.3,2.8,0
6/4/2015,39.8,28.2,64,20.8,0,0
6/5/2015,40.5,28.6,61,20.1,0,0
6/6/2015,41.2,29,58,19.6,0,0
6/7/2015,41.8,29.3,55,20.2,0,0
6/8/2015,42.3,29.6,52,20.8,0,0
6/9/2015,42.7,29.8,50,20.2,2.3,0
6/10/2015,42,29.4,54,21.4,8.6,0
6/11/2015,40.8,28.7,59,22.6,14.2,0
6/12/2015,39.6,28,65,23.5,22.5,0
6/13/2015,38.5,27.5,69,22.8,31.4,0
6/14/2015,39.2,27.9,66,22.1,26.8,0
6/15/2015,40,28.3,62,21.6,18.5,0
6/16/2015,40.7,28.7,59,22.2,12.3,0
6/17/2015,41.3,29,57,22.8,7.5,0
6/18/2015,39.8,28.2,63,23.7,3.2,0
6/19/2015,38.2,27.3,70,24.5,0,0
6/20/2015,37.5,26.8,74,23.9,0,0
6/21/2015,38.3,27.2,70,23.2,0,0
6/22/2015,39,27.6,67,22.7,5.8,0
6/23/2015,39.6,28,64,23.2,12.4,0
6/24/2015,38.5,27.5,68,24,28.6,0
6/25/2015,37.3,26.7,73,24.8,45.2,0
6/26/2015,36.8,26.4,76,24.2,52.4,0
6/27/2015,37.5,26.8,73,23.6,64.8,0
6/28/2015,38.2,27.2,70,23.1,78.3,0
6/29/2015,37,26.5,74,24.3,92.5,0
6/30/2015,36.4,26.1,78,25.5,65.7,0
7/1/2015,35.8,26.3,79,25.8,42.3,0
7/2/2015,34.9,25.9,82,26.3,28.6,0
7/3/2015,34.2,25.6,85,25.7,15.2,0
7/4/2015,33.8,25.4,87,25.2,8.7,0
7/5/2015,34.3,25.7,85,24.8,3.2,0
7/6/2015,35,26,82,25.3,0,0
